#observed;actual;antenna;datetime
0;0;42;02/11/15 11:12 PM
0;2;42;02/11/15 11:13 PM
0;0;42;02/11/15 11:14 PM
0;1;42;02/11/15 11:15 PM
0;0;42;02/11/15 11:16 PM
0;0;42;02/11/15 11:17 PM
0;1;42;02/11/15 11:18 PM
0;1;42;02/11/15 11:19 PM
0;0;42;02/11/15 11:20 PM
0;1;42;02/11/15 11:21 PM
0;0;42;02/11/15 11:22 PM
0;0;42;02/11/15 11:23 PM
0;0;42;02/11/15 11:24 PM
0;0;42;02/11/15 11:25 PM
0;0;42;02/11/15 11:26 PM
0;0;42;02/11/15 11:27 PM
0;0;42;02/11/15 11:28 PM
0;0;42;02/11/15 11:29 PM
0;0;42;02/11/15 11:30 PM
0;0;42;02/11/15 11:31 PM
0;0;42;02/11/15 11:32 PM
0;0;42;02/11/15 11:33 PM
0;0;42;02/11/15 11:34 PM
0;0;42;02/11/15 11:35 PM
0;0;42;02/11/15 11:36 PM
0;0;42;02/11/15 11:37 PM
0;1;42;02/11/15 11:38 PM
0;1;42;02/11/15 11:39 PM
0;0;42;02/11/15 11:40 PM
0;0;42;02/11/15 11:41 PM
0;2;42;02/11/15 11:42 PM
0;2;42;02/11/15 11:43 PM
0;1;42;02/11/15 11:44 PM
0;2;42;02/11/15 11:45 PM
0;0;42;02/11/15 11:46 PM
0;1;42;02/11/15 11:47 PM
0;2;42;02/11/15 11:48 PM
0;1;42;02/11/15 11:49 PM
0;0;42;02/11/15 11:50 PM
0;1;42;02/11/15 11:51 PM
0;1;42;02/11/15 11:52 PM
0;0;42;02/11/15 11:53 PM
0;2;42;02/11/15 11:54 PM
0;1;42;02/11/15 11:55 PM
0;0;42;02/11/15 11:56 PM
0;1;42;02/11/15 11:57 PM
0;1;42;02/11/15 11:58 PM
0;2;42;02/11/15 11:59 PM
0;0;42;02/12/15 12:00 AM
0;1;42;02/12/15 12:01 AM
0;0;42;02/12/15 12:02 AM
0;1;42;02/12/15 12:03 AM
0;0;42;02/12/15 12:04 AM
0;0;42;02/12/15 12:05 AM
0;1;42;02/12/15 12:06 AM
0;1;42;02/12/15 12:07 AM
0;1;42;02/12/15 12:08 AM
0;0;42;02/12/15 12:09 AM
0;2;42;02/12/15 12:10 AM
0;2;42;02/12/15 12:11 AM
0;0;42;02/12/15 12:12 AM
0;0;42;02/12/15 12:13 AM
0;1;42;02/12/15 12:14 AM
0;0;42;02/12/15 12:15 AM
0;1;42;02/12/15 12:16 AM
0;0;42;02/12/15 12:17 AM
0;0;42;02/12/15 12:18 AM
0;2;42;02/12/15 12:19 AM
0;0;42;02/12/15 12:20 AM
0;3;42;02/12/15 12:21 AM
44;49;42;02/12/15 12:22 AM
60;60;42;02/12/15 12:23 AM
60;61;42;02/12/15 12:24 AM
60;61;42;02/12/15 12:25 AM
55;56;42;02/12/15 12:26 AM
59;60;42;02/12/15 12:27 AM
59;59;42;02/12/15 12:28 AM
60;60;42;02/12/15 12:29 AM
58;58;42;02/12/15 12:30 AM
59;59;42;02/12/15 12:31 AM
59;60;42;02/12/15 12:32 AM
60;60;42;02/12/15 12:33 AM
56;59;42;02/12/15 12:34 AM
60;63;42;02/12/15 12:35 AM
60;61;42;02/12/15 12:36 AM
60;62;42;02/12/15 12:37 AM
59;59;42;02/12/15 12:38 AM
60;60;42;02/12/15 12:39 AM
59;60;42;02/12/15 12:40 AM
59;61;42;02/12/15 12:41 AM
59;60;42;02/12/15 12:42 AM
60;61;42;02/12/15 12:43 AM
60;60;42;02/12/15 12:44 AM
61;62;42;02/12/15 12:45 AM
58;61;42;02/12/15 12:46 AM
55;60;42;02/12/15 12:47 AM
50;60;42;02/12/15 12:48 AM
36;61;42;02/12/15 12:49 AM
48;60;42;02/12/15 12:50 AM
58;60;42;02/12/15 12:51 AM
61;61;42;02/12/15 12:52 AM
59;61;42;02/12/15 12:53 AM
61;61;42;02/12/15 12:54 AM
59;61;42;02/12/15 12:55 AM
60;60;42;02/12/15 12:56 AM
