#observed;actual;antenna;datetime
0;47;32;02/07/15 03:17 AM
0;46;32;02/07/15 03:18 AM
0;48;32;02/07/15 03:19 AM
0;42;32;02/07/15 03:20 AM
0;42;32;02/07/15 03:21 AM
0;46;32;02/07/15 03:22 AM
0;47;32;02/07/15 03:23 AM
0;41;32;02/07/15 03:24 AM
0;35;32;02/07/15 03:25 AM
0;31;32;02/07/15 03:26 AM
0;35;32;02/07/15 03:27 AM
0;34;32;02/07/15 03:28 AM
0;35;32;02/07/15 03:29 AM
0;45;32;02/07/15 03:30 AM
0;44;32;02/07/15 03:31 AM
0;45;32;02/07/15 03:32 AM
0;48;32;02/07/15 03:33 AM
0;45;32;02/07/15 03:34 AM
0;39;32;02/07/15 03:35 AM
0;34;32;02/07/15 03:36 AM
0;38;32;02/07/15 03:37 AM
0;44;32;02/07/15 03:38 AM
0;41;32;02/07/15 03:39 AM
0;35;32;02/07/15 03:40 AM
0;47;32;02/07/15 03:41 AM
0;37;32;02/07/15 03:42 AM
0;37;32;02/07/15 03:43 AM
0;43;32;02/07/15 03:44 AM
0;42;32;02/07/15 03:45 AM
0;40;32;02/07/15 03:46 AM
0;42;32;02/07/15 03:47 AM
0;36;32;02/07/15 03:48 AM
0;38;32;02/07/15 03:49 AM
0;44;32;02/07/15 03:50 AM
0;38;32;02/07/15 03:51 AM
0;49;32;02/07/15 03:52 AM
0;46;32;02/07/15 03:53 AM
0;43;32;02/07/15 03:54 AM
0;49;32;02/07/15 03:55 AM
0;41;32;02/07/15 03:56 AM
0;48;32;02/07/15 03:57 AM
0;38;32;02/07/15 03:58 AM
0;32;32;02/07/15 03:59 AM
0;32;32;02/07/15 04:00 AM
0;30;32;02/07/15 04:01 AM
0;35;32;02/07/15 04:02 AM
0;43;32;02/07/15 04:03 AM
0;47;32;02/07/15 04:04 AM
0;44;32;02/07/15 04:05 AM
0;41;32;02/07/15 04:06 AM
0;44;32;02/07/15 04:07 AM
0;37;32;02/07/15 04:08 AM
0;37;32;02/07/15 04:09 AM
0;35;32;02/07/15 04:10 AM
0;41;32;02/07/15 04:11 AM
0;39;32;02/07/15 04:12 AM
0;42;32;02/07/15 04:13 AM
0;42;32;02/07/15 04:14 AM
0;42;32;02/07/15 04:15 AM
0;40;32;02/07/15 04:16 AM
0;46;32;02/07/15 04:17 AM
0;48;32;02/07/15 04:18 AM
0;46;32;02/07/15 04:19 AM
0;50;32;02/07/15 04:20 AM
0;47;32;02/07/15 04:21 AM
0;40;32;02/07/15 04:22 AM
0;41;32;02/07/15 04:23 AM
0;42;32;02/07/15 04:24 AM
0;41;32;02/07/15 04:25 AM
0;48;32;02/07/15 04:26 AM
0;53;32;02/07/15 04:27 AM
0;41;32;02/07/15 04:28 AM
0;42;32;02/07/15 04:29 AM
0;36;32;02/07/15 04:30 AM
0;44;32;02/07/15 04:31 AM
0;44;32;02/07/15 04:32 AM
0;51;32;02/07/15 04:33 AM
0;37;32;02/07/15 04:34 AM
0;47;32;02/07/15 04:35 AM
0;39;32;02/07/15 04:36 AM
1;34;32;02/07/15 04:37 AM
11;59;32;02/07/15 04:38 AM
46;85;32;02/07/15 04:39 AM
0;45;32;02/07/15 04:40 AM
1;46;32;02/07/15 04:41 AM
0;43;32;02/07/15 04:42 AM
0;48;32;02/07/15 04:43 AM
0;46;32;02/07/15 04:44 AM
0;54;32;02/07/15 04:45 AM
0;49;32;02/07/15 04:46 AM
0;46;32;02/07/15 04:47 AM
0;35;32;02/07/15 04:48 AM
0;45;32;02/07/15 04:49 AM
0;45;32;02/07/15 04:50 AM
0;42;32;02/07/15 04:51 AM
0;44;32;02/07/15 04:52 AM
0;49;32;02/07/15 04:53 AM
0;51;32;02/07/15 04:54 AM
0;47;32;02/07/15 04:55 AM
0;51;32;02/07/15 04:56 AM
0;46;32;02/07/15 04:57 AM
0;46;32;02/07/15 04:58 AM
0;50;32;02/07/15 04:59 AM
0;46;32;02/07/15 05:00 AM
0;50;32;02/07/15 05:01 AM
0;47;32;02/07/15 05:02 AM
0;51;32;02/07/15 05:03 AM
0;47;32;02/07/15 05:04 AM
0;40;32;02/07/15 05:05 AM
0;44;32;02/07/15 05:06 AM
0;43;32;02/07/15 05:07 AM
0;47;32;02/07/15 05:08 AM
0;50;32;02/07/15 05:09 AM
0;47;32;02/07/15 05:10 AM
0;53;32;02/07/15 05:11 AM
0;50;32;02/07/15 05:12 AM
0;49;32;02/07/15 05:13 AM
0;51;32;02/07/15 05:14 AM
0;46;32;02/07/15 05:15 AM
0;50;32;02/07/15 05:16 AM
0;34;32;02/07/15 05:17 AM
0;43;32;02/07/15 05:18 AM
0;50;32;02/07/15 05:19 AM
0;42;32;02/07/15 05:20 AM
0;54;32;02/07/15 05:21 AM
0;45;32;02/07/15 05:22 AM
0;51;32;02/07/15 05:23 AM
0;48;32;02/07/15 05:24 AM
0;52;32;02/07/15 05:25 AM
0;45;32;02/07/15 05:26 AM
0;44;32;02/07/15 05:27 AM
0;44;32;02/07/15 05:28 AM
0;45;32;02/07/15 05:29 AM
0;46;32;02/07/15 05:30 AM
0;52;32;02/07/15 05:31 AM
0;42;32;02/07/15 05:32 AM
0;40;32;02/07/15 05:33 AM
0;47;32;02/07/15 05:34 AM
0;41;32;02/07/15 05:35 AM
0;45;32;02/07/15 05:36 AM
0;51;32;02/07/15 05:37 AM
0;57;32;02/07/15 05:38 AM
0;52;32;02/07/15 05:39 AM
0;53;32;02/07/15 05:40 AM
0;56;32;02/07/15 05:41 AM
0;52;32;02/07/15 05:42 AM
0;52;32;02/07/15 05:43 AM
0;57;32;02/07/15 05:44 AM
0;49;32;02/07/15 05:45 AM
0;54;32;02/07/15 05:46 AM
0;56;32;02/07/15 05:47 AM
0;49;32;02/07/15 05:48 AM
