observed;actual;practitioner;date
0;0;12;03/11/2012
24;27;12;03/12/2012
33;28;12;03/13/2012
32;27;12;03/14/2012
0;0;12;03/15/2012
27;32;12;03/16/2012
0;0;12;03/17/2012
0;0;12;03/18/2012
20;22;12;03/19/2012
0;8;12;03/20/2012
0;2;12;03/21/2012
0;0;12;03/22/2012
0;0;12;03/23/2012
0;0;12;03/24/2012
0;0;12;03/25/2012
0;8;12;03/26/2012
0;29;12;03/27/2012
0;0;12;03/28/2012
0;0;12;03/29/2012
0;15;12;03/30/2012
0;0;12;03/31/2012
0;0;13;01/01/2012
133;84;13;01/02/2012
118;99;13;01/03/2012
124;107;13;01/04/2012
163;147;13;01/05/2012
0;0;13;01/06/2012
0;0;13;01/07/2012
0;0;13;01/08/2012
76;54;13;01/09/2012
69;54;13;01/10/2012
73;56;13;01/11/2012
77;62;13;01/12/2012
39;36;13;01/13/2012
2;0;13;01/14/2012
0;0;13;01/15/2012
52;42;13;01/16/2012
53;49;13;01/17/2012
34;26;13;01/18/2012
122;94;13;01/19/2012
56;44;13;01/20/2012
0;0;13;01/21/2012
0;0;13;01/22/2012
54;51;13;01/23/2012
83;72;13;01/24/2012
44;39;13;01/25/2012
126;92;13;01/26/2012
93;73;13;01/27/2012
0;0;13;01/28/2012
0;0;13;01/29/2012
40;37;13;01/30/2012
35;30;13;01/31/2012
40;38;13;02/01/2012
128;114;13;02/02/2012
42;38;13;02/03/2012
0;0;13;02/04/2012
0;0;13;02/05/2012
52;51;13;02/06/2012
29;24;13;02/07/2012
35;32;13;02/08/2012
33;30;13;02/09/2012
86;79;13;02/10/2012
0;0;13;02/11/2012
0;0;13;02/12/2012
59;52;13;02/13/2012
17;17;13;02/14/2012
44;37;13;02/15/2012
76;80;13;02/16/2012
93;88;13;02/17/2012
0;0;13;02/18/2012
0;0;13;02/19/2012
5;6;13;02/20/2012
1;1;13;02/21/2012
0;0;13;02/22/2012
4;7;13;02/23/2012
0;0;13;02/24/2012
2;2;13;02/25/2012
0;0;13;02/26/2012
64;66;13;02/27/2012
60;59;13;02/28/2012
85;83;13;02/29/2012
110;100;13;03/01/2012
38;38;13;03/02/2012
0;0;13;03/03/2012
0;0;13;03/04/2012
55;49;13;03/05/2012
2;2;13;03/06/2012
79;75;13;03/07/2012
2;0;13;03/08/2012
0;0;13;03/09/2012
0;0;13;03/10/2012
0;0;13;03/11/2012
47;49;13;03/12/2012
3;7;13;03/13/2012
42;42;13;03/14/2012
73;68;13;03/15/2012
106;95;13;03/16/2012
0;0;13;03/17/2012
0;0;13;03/18/2012
51;49;13;03/19/2012
3;3;13;03/20/2012
14;15;13;03/21/2012
37;37;13;03/22/2012
31;33;13;03/23/2012
0;0;13;03/24/2012
0;0;13;03/25/2012
26;35;13;03/26/2012
0;0;13;03/27/2012
24;27;13;03/28/2012
55;53;13;03/29/2012
81;75;13;03/30/2012
0;0;13;03/31/2012
0;0;14;01/01/2012
3;2;14;01/02/2012
7;4;14;01/03/2012
6;6;14;01/04/2012
62;13;14;01/05/2012
0;0;14;01/06/2012
0;0;14;01/07/2012
0;0;14;01/08/2012
216;211;14;01/09/2012
107;108;14;01/10/2012
5;3;14;01/11/2012
6;5;14;01/12/2012
106;102;14;01/13/2012
0;3;14;01/14/2012
0;0;14;01/15/2012
124;126;14;01/16/2012
94;90;14;01/17/2012
63;64;14;01/18/2012
32;3;14;01/19/2012
69;68;14;01/20/2012
0;0;14;01/21/2012
0;0;14;01/22/2012
132;134;14;01/23/2012
132;137;14;01/24/2012
8;8;14;01/25/2012
5;10;14;01/26/2012
72;70;14;01/27/2012
0;0;14;01/28/2012
0;0;14;01/29/2012
151;154;14;01/30/2012
108;122;14;01/31/2012
2;3;14;02/01/2012
2;4;14;02/02/2012
90;92;14;02/03/2012
3;3;14;02/04/2012
0;0;14;02/05/2012
97;91;14;02/06/2012
77;79;14;02/07/2012
10;12;14;02/08/2012
2;3;14;02/09/2012
75;70;14;02/10/2012
0;0;14;02/11/2012
0;0;14;02/12/2012
90;91;14;02/13/2012
79;83;14;02/14/2012
6;7;14;02/15/2012
4;5;14;02/16/2012
64;69;14;02/17/2012
0;0;14;02/18/2012
0;0;14;02/19/2012
82;86;14;02/20/2012
79;81;14;02/21/2012
1;8;14;02/22/2012
0;2;14;02/23/2012
20;23;14;02/24/2012
0;0;14;02/25/2012
0;0;14;02/26/2012
136;142;14;02/27/2012
93;110;14;02/28/2012
3;5;14;02/29/2012
8;11;14;03/01/2012
107;100;14;03/02/2012
0;0;14;03/03/2012
0;0;14;03/04/2012
113;84;14;03/05/2012
128;139;14;03/06/2012
8;7;14;03/07/2012
5;8;14;03/08/2012
81;85;14;03/09/2012
0;0;14;03/10/2012
0;0;14;03/11/2012
88;88;14;03/12/2012
104;107;14;03/13/2012
11;10;14;03/14/2012
5;9;14;03/15/2012
36;34;14;03/16/2012
0;0;14;03/17/2012
0;0;14;03/18/2012
18;20;14;03/19/2012
2;5;14;03/20/2012
0;4;14;03/21/2012
4;5;14;03/22/2012
21;23;14;03/23/2012
0;0;14;03/24/2012
0;0;14;03/25/2012
96;88;14;03/26/2012
90;107;14;03/27/2012
10;13;14;03/28/2012
1;6;14;03/29/2012
33;41;14;03/30/2012
0;0;14;03/31/2012
0;0;15;01/01/2012
21;21;15;01/02/2012
20;24;15;01/03/2012
32;37;15;01/04/2012
50;61;15;01/05/2012
0;0;15;01/06/2012
0;0;15;01/07/2012
0;0;15;01/08/2012
196;181;15;01/09/2012
210;176;15;01/10/2012
36;35;15;01/11/2012
107;98;15;01/12/2012
51;49;15;01/13/2012
0;0;15;01/14/2012
0;0;15;01/15/2012
166;156;15;01/16/2012
187;172;15;01/17/2012
73;70;15;01/18/2012
45;44;15;01/19/2012
7;9;15;01/20/2012
0;0;15;01/21/2012
0;0;15;01/22/2012
180;169;15;01/23/2012
195;173;15;01/24/2012
69;68;15;01/25/2012
120;126;15;01/26/2012
64;69;15;01/27/2012
0;0;15;01/28/2012
0;0;15;01/29/2012
169;170;15;01/30/2012
168;163;15;01/31/2012
55;55;15;02/01/2012
66;75;15;02/02/2012
46;47;15;02/03/2012
0;0;15;02/04/2012
0;0;15;02/05/2012
149;151;15;02/06/2012
168;151;15;02/07/2012
25;20;15;02/08/2012
66;63;15;02/09/2012
49;48;15;02/10/2012
0;0;15;02/11/2012
0;0;15;02/12/2012
152;146;15;02/13/2012
204;193;15;02/14/2012
26;26;15;02/15/2012
45;60;15;02/16/2012
68;43;15;02/17/2012
0;0;15;02/18/2012
0;0;15;02/19/2012
244;203;15;02/20/2012
130;127;15;02/21/2012
57;64;15;02/22/2012
105;105;15;02/23/2012
32;40;15;02/24/2012
0;0;15;02/25/2012
0;0;15;02/26/2012
174;177;15;02/27/2012
105;99;15;02/28/2012
45;39;15;02/29/2012
84;80;15;03/01/2012
25;24;15;03/02/2012
0;0;15;03/03/2012
0;0;15;03/04/2012
114;100;15;03/05/2012
147;133;15;03/06/2012
61;60;15;03/07/2012
94;93;15;03/08/2012
13;20;15;03/09/2012
0;0;15;03/10/2012
0;0;15;03/11/2012
174;165;15;03/12/2012
76;88;15;03/13/2012
33;31;15;03/14/2012
109;66;15;03/15/2012
70;67;15;03/16/2012
0;0;15;03/17/2012
0;0;15;03/18/2012
149;153;15;03/19/2012
173;178;15;03/20/2012
115;123;15;03/21/2012
130;127;15;03/22/2012
27;30;15;03/23/2012
0;0;15;03/24/2012
0;0;15;03/25/2012
104;96;15;03/26/2012
152;148;15;03/27/2012
31;31;15;03/28/2012
103;103;15;03/29/2012
40;42;15;03/30/2012
0;0;15;03/31/2012
0;0;16;01/01/2012
0;0;16;01/02/2012
12;22;16;01/03/2012
25;25;16;01/04/2012
0;0;16;01/05/2012
0;0;16;01/06/2012
0;0;16;01/07/2012
0;0;16;01/08/2012
0;0;16;01/09/2012
24;34;16;01/10/2012
25;25;16;01/11/2012
34;41;16;01/12/2012
7;7;16;01/13/2012
0;0;16;01/14/2012
0;0;16;01/15/2012
19;19;16;01/16/2012
30;46;16;01/17/2012
36;41;16;01/18/2012
32;32;16;01/19/2012
20;22;16;01/20/2012
0;0;16;01/21/2012
0;0;16;01/22/2012
33;32;16;01/23/2012
54;78;16;01/24/2012
36;36;16;01/25/2012
34;38;16;01/26/2012
42;68;16;01/27/2012
0;0;16;01/28/2012
0;0;16;01/29/2012
27;31;16;01/30/2012
41;55;16;01/31/2012
41;42;16;02/01/2012
28;42;16;02/02/2012
20;32;16;02/03/2012
0;0;16;02/04/2012
0;0;16;02/05/2012
25;25;16;02/06/2012
0;66;16;02/07/2012
36;31;16;02/08/2012
21;30;16;02/09/2012
0;0;16;02/10/2012
0;0;16;02/11/2012
0;0;16;02/12/2012
27;40;16;02/13/2012
0;63;16;02/14/2012
43;44;16;02/15/2012
40;38;16;02/16/2012
38;67;16;02/17/2012
0;0;16;02/18/2012
0;0;16;02/19/2012
0;0;16;02/20/2012
0;0;16;02/21/2012
41;38;16;02/22/2012
58;59;16;02/23/2012
23;21;16;02/24/2012
0;0;16;02/25/2012
0;0;16;02/26/2012
25;30;16;02/27/2012
42;66;16;02/28/2012
35;31;16;02/29/2012
35;35;16;03/01/2012
0;0;16;03/02/2012
0;0;16;03/03/2012
0;0;16;03/04/2012
35;35;16;03/05/2012
42;56;16;03/06/2012
45;54;16;03/07/2012
13;15;16;03/08/2012
32;44;16;03/09/2012
0;0;16;03/10/2012
0;0;16;03/11/2012
35;37;16;03/12/2012
0;57;16;03/13/2012
37;47;16;03/14/2012
28;30;16;03/15/2012
32;53;16;03/16/2012
0;0;16;03/17/2012
0;0;16;03/18/2012
26;26;16;03/19/2012
36;105;16;03/20/2012
31;32;16;03/21/2012
41;44;16;03/22/2012
20;22;16;03/23/2012
0;0;16;03/24/2012
0;0;16;03/25/2012
25;29;16;03/26/2012
0;40;16;03/27/2012
0;0;16;03/28/2012
0;6;16;03/29/2012
0;42;16;03/30/2012
0;0;16;03/31/2012
0;0;17;01/01/2012
0;0;17;01/02/2012
2;0;17;01/03/2012
0;0;17;01/04/2012
0;0;17;01/05/2012
0;0;17;01/06/2012
0;0;17;01/07/2012
0;0;17;01/08/2012
0;0;17;01/09/2012
0;0;17;01/10/2012
55;62;17;01/11/2012
0;0;17;01/12/2012
0;0;17;01/13/2012
2;2;17;01/14/2012
0;0;17;01/15/2012
0;0;17;01/16/2012
57;70;17;01/17/2012
54;57;17;01/18/2012
0;1;17;01/19/2012
0;0;17;01/20/2012
3;4;17;01/21/2012
0;0;17;01/22/2012
8;9;17;01/23/2012
51;60;17;01/24/2012
51;62;17;01/25/2012
0;0;17;01/26/2012
4;8;17;01/27/2012
0;0;17;01/28/2012
0;0;17;01/29/2012
1;1;17;01/30/2012
0;0;17;01/31/2012
0;0;17;02/01/2012
0;0;17;02/02/2012
0;0;17;02/03/2012
0;0;17;02/04/2012
0;0;17;02/05/2012
0;0;17;02/06/2012
0;0;17;02/07/2012
0;0;17;02/08/2012
23;40;17;02/09/2012
0;0;17;02/10/2012
0;0;17;02/11/2012
0;0;17;02/12/2012
0;0;17;02/13/2012
0;0;17;02/14/2012
0;0;17;02/15/2012
0;0;17;02/16/2012
0;0;17;02/17/2012
12;26;17;02/18/2012
0;0;17;02/19/2012
0;0;17;02/20/2012
0;0;17;02/21/2012
0;0;17;02/22/2012
0;0;17;02/23/2012
0;0;17;02/24/2012
0;0;17;02/25/2012
0;0;17;02/26/2012
0;0;17;02/27/2012
0;0;17;02/28/2012
18;27;17;02/29/2012
2;2;17;03/01/2012
0;0;17;03/02/2012
14;18;17;03/03/2012
0;0;17;03/04/2012
0;0;17;03/05/2012
0;0;17;03/06/2012
44;73;17;03/07/2012
0;0;17;03/08/2012
0;0;17;03/09/2012
19;23;17;03/10/2012
0;0;17;03/11/2012
1;1;17;03/12/2012
43;69;17;03/13/2012
0;2;17;03/14/2012
0;0;17;03/15/2012
0;0;17;03/16/2012
0;0;17;03/17/2012
0;0;17;03/18/2012
1;1;17;03/19/2012
28;42;17;03/20/2012
33;49;17;03/21/2012
0;0;17;03/22/2012
0;2;17;03/23/2012
0;0;17;03/24/2012
0;0;17;03/25/2012
2;2;17;03/26/2012
49;67;17;03/27/2012
0;0;17;03/28/2012
0;0;17;03/29/2012
0;0;17;03/30/2012
0;0;17;03/31/2012
0;0;18;01/01/2012
0;0;18;01/02/2012
0;0;18;01/03/2012
6;6;18;01/04/2012
0;0;18;01/05/2012
0;0;18;01/06/2012
0;0;18;01/07/2012
0;0;18;01/08/2012
0;0;18;01/09/2012
0;0;18;01/10/2012
4;4;18;01/11/2012
0;0;18;01/12/2012
0;0;18;01/13/2012
0;0;18;01/14/2012
0;0;18;01/15/2012
0;0;18;01/16/2012
2;4;18;01/17/2012
6;6;18;01/18/2012
1;1;18;01/19/2012
0;0;18;01/20/2012
0;0;18;01/21/2012
0;0;18;01/22/2012
0;0;18;01/23/2012
4;7;18;01/24/2012
3;3;18;01/25/2012
0;0;18;01/26/2012
0;0;18;01/27/2012
0;0;18;01/28/2012
0;0;18;01/29/2012
0;0;18;01/30/2012
0;0;18;01/31/2012
5;5;18;02/01/2012
0;0;18;02/02/2012
0;0;18;02/03/2012
0;0;18;02/04/2012
0;0;18;02/05/2012
0;0;18;02/06/2012
11;10;18;02/07/2012
2;2;18;02/08/2012
0;0;18;02/09/2012
0;0;18;02/10/2012
0;0;18;02/11/2012
0;0;18;02/12/2012
0;0;18;02/13/2012
13;11;18;02/14/2012
6;8;18;02/15/2012
0;0;18;02/16/2012
0;0;18;02/17/2012
0;0;18;02/18/2012
0;0;18;02/19/2012
0;2;18;02/20/2012
11;8;18;02/21/2012
7;8;18;02/22/2012
0;0;18;02/23/2012
0;0;18;02/24/2012
0;0;18;02/25/2012
0;0;18;02/26/2012
0;0;18;02/27/2012
7;5;18;02/28/2012
8;11;18;02/29/2012
0;0;18;03/01/2012
0;0;18;03/02/2012
0;0;18;03/03/2012
0;0;18;03/04/2012
0;0;18;03/05/2012
1;1;18;03/06/2012
3;4;18;03/07/2012
0;0;18;03/08/2012
0;0;18;03/09/2012
0;0;18;03/10/2012
0;0;18;03/11/2012
0;1;18;03/12/2012
6;6;18;03/13/2012
4;6;18;03/14/2012
0;0;18;03/15/2012
0;0;18;03/16/2012
0;0;18;03/17/2012
0;0;18;03/18/2012
0;4;18;03/19/2012
5;5;18;03/20/2012
6;7;18;03/21/2012
0;0;18;03/22/2012
0;0;18;03/23/2012
0;0;18;03/24/2012
0;0;18;03/25/2012
0;0;18;03/26/2012
1;9;18;03/27/2012
0;4;18;03/28/2012
0;4;18;03/29/2012
0;2;18;03/30/2012
0;0;18;03/31/2012
0;0;19;01/01/2012
0;0;19;01/02/2012
0;0;19;01/03/2012
17;24;19;01/04/2012
2;2;19;01/05/2012
0;0;19;01/06/2012
0;0;19;01/07/2012
0;0;19;01/08/2012
0;0;19;01/09/2012
0;0;19;01/10/2012
20;29;19;01/11/2012
0;0;19;01/12/2012
3;2;19;01/13/2012
0;0;19;01/14/2012
0;0;19;01/15/2012
0;0;19;01/16/2012
0;0;19;01/17/2012
8;20;19;01/18/2012
5;12;19;01/19/2012
0;0;19;01/20/2012
0;0;19;01/21/2012
0;0;19;01/22/2012
0;0;19;01/23/2012
2;2;19;01/24/2012
8;19;19;01/25/2012
3;3;19;01/26/2012
0;0;19;01/27/2012
0;0;19;01/28/2012
0;0;19;01/29/2012
0;0;19;01/30/2012
0;0;19;01/31/2012
5;17;19;02/01/2012
3;3;19;02/02/2012
0;0;19;02/03/2012
0;0;19;02/04/2012
0;0;19;02/05/2012
0;0;19;02/06/2012
0;0;19;02/07/2012
11;18;19;02/08/2012
0;0;19;02/09/2012
0;0;19;02/10/2012
0;0;19;02/11/2012
0;0;19;02/12/2012
0;0;19;02/13/2012
0;0;19;02/14/2012
5;8;19;02/15/2012
0;0;19;02/16/2012
0;0;19;02/17/2012
0;0;19;02/18/2012
0;0;19;02/19/2012
0;0;19;02/20/2012
0;0;19;02/21/2012
58;6;19;02/22/2012
0;0;19;02/23/2012
0;0;19;02/24/2012
0;0;19;02/25/2012
0;0;19;02/26/2012
0;0;19;02/27/2012
0;0;19;02/28/2012
3;3;19;02/29/2012
0;0;19;03/01/2012
0;0;19;03/02/2012
0;0;19;03/03/2012
0;0;19;03/04/2012
0;0;19;03/05/2012
4;9;19;03/06/2012
7;10;19;03/07/2012
0;0;19;03/08/2012
1;0;19;03/09/2012
0;0;19;03/10/2012
0;0;19;03/11/2012
0;0;19;03/12/2012
0;0;19;03/13/2012
32;10;19;03/14/2012
0;0;19;03/15/2012
0;0;19;03/16/2012
0;0;19;03/17/2012
0;0;19;03/18/2012
0;0;19;03/19/2012
0;0;19;03/20/2012
78;3;19;03/21/2012
0;0;19;03/22/2012
0;0;19;03/23/2012
0;0;19;03/24/2012
0;0;19;03/25/2012
0;0;19;03/26/2012
0;0;19;03/27/2012
0;5;19;03/28/2012
0;0;19;03/29/2012
0;0;19;03/30/2012
0;0;19;03/31/2012
0;0;20;01/01/2012
0;1;20;01/02/2012
0;0;20;01/03/2012
0;0;20;01/04/2012
0;0;20;01/05/2012
0;0;20;01/06/2012
0;0;20;01/07/2012
0;0;20;01/08/2012
0;0;20;01/09/2012
0;0;20;01/10/2012
0;0;20;01/11/2012
0;0;20;01/12/2012
0;0;20;01/13/2012
0;0;20;01/14/2012
0;0;20;01/15/2012
0;0;20;01/16/2012
0;0;20;01/17/2012
0;0;20;01/18/2012
0;0;20;01/19/2012
0;0;20;01/20/2012
0;0;20;01/21/2012
0;0;20;01/22/2012
0;0;20;01/23/2012
0;0;20;01/24/2012
0;0;20;01/25/2012
0;0;20;01/26/2012
0;0;20;01/27/2012
0;0;20;01/28/2012
0;0;20;01/29/2012
0;0;20;01/30/2012
0;0;20;01/31/2012
0;0;20;02/01/2012
0;0;20;02/02/2012
0;0;20;02/03/2012
0;0;20;02/04/2012
0;0;20;02/05/2012
0;0;20;02/06/2012
0;0;20;02/07/2012
0;0;20;02/08/2012
0;0;20;02/09/2012
0;0;20;02/10/2012
0;0;20;02/11/2012
0;0;20;02/12/2012
0;0;20;02/13/2012
0;0;20;02/14/2012
0;0;20;02/15/2012
0;0;20;02/16/2012
0;0;20;02/17/2012
0;0;20;02/18/2012
0;0;20;02/19/2012
0;0;20;02/20/2012
0;0;20;02/21/2012
0;0;20;02/22/2012
0;0;20;02/23/2012
0;0;20;02/24/2012
0;0;20;02/25/2012
0;0;20;02/26/2012
0;0;20;02/27/2012
0;0;20;02/28/2012
0;0;20;02/29/2012
0;0;20;03/01/2012
0;0;20;03/02/2012
0;0;20;03/03/2012
0;0;20;03/04/2012
0;0;20;03/05/2012
0;0;20;03/06/2012
0;0;20;03/07/2012
14;13;20;03/08/2012
4;5;20;03/09/2012
0;0;20;03/10/2012
0;0;20;03/11/2012
0;0;20;03/12/2012
8;4;20;03/13/2012
0;0;20;03/14/2012
17;17;20;03/15/2012
0;0;20;03/16/2012
0;0;20;03/17/2012
0;0;20;03/18/2012
0;0;20;03/19/2012
0;0;20;03/20/2012
9;9;20;03/21/2012
0;0;20;03/22/2012
1;1;20;03/23/2012
0;0;20;03/24/2012
0;0;20;03/25/2012
0;0;20;03/26/2012
0;0;20;03/27/2012
0;0;20;03/28/2012
11;8;20;03/29/2012
0;0;20;03/30/2012
0;0;20;03/31/2012
