observed;actual;practitioner;date
85;90;3;02/02/2012
43;41;3;02/03/2012
1;1;3;02/04/2012
1;1;3;02/05/2012
120;120;3;02/06/2012
81;81;3;02/07/2012
68;63;3;02/08/2012
56;57;3;02/09/2012
76;71;3;02/10/2012
4;4;3;02/11/2012
0;0;3;02/12/2012
95;98;3;02/13/2012
68;63;3;02/14/2012
53;60;3;02/15/2012
34;42;3;02/16/2012
91;79;3;02/17/2012
11;9;3;02/18/2012
6;6;3;02/19/2012
42;40;3;02/20/2012
28;24;3;02/21/2012
96;99;3;02/22/2012
69;60;3;02/23/2012
82;79;3;02/24/2012
0;0;3;02/25/2012
1;1;3;02/26/2012
12;9;3;02/27/2012
37;33;3;02/28/2012
40;48;3;02/29/2012
72;76;3;03/01/2012
36;34;3;03/02/2012
28;25;3;03/03/2012
10;10;3;03/04/2012
128;112;3;03/05/2012
71;64;3;03/06/2012
106;85;3;03/07/2012
69;72;3;03/08/2012
55;48;3;03/09/2012
27;23;3;03/10/2012
2;1;3;03/11/2012
99;94;3;03/12/2012
55;58;3;03/13/2012
36;36;3;03/14/2012
58;59;3;03/15/2012
53;54;3;03/16/2012
7;7;3;03/17/2012
13;13;3;03/18/2012
1;1;3;03/19/2012
7;8;3;03/20/2012
4;5;3;03/21/2012
2;2;3;03/22/2012
9;8;3;03/23/2012
1;1;3;03/24/2012
2;2;3;03/25/2012
12;12;3;03/26/2012
2;2;3;03/27/2012
11;11;3;03/28/2012
3;3;3;03/29/2012
7;7;3;03/30/2012
3;0;3;03/31/2012
12;8;4;01/01/2012
307;162;4;01/02/2012
174;48;4;01/03/2012
85;5;4;01/04/2012
102;7;4;01/05/2012
0;0;4;01/06/2012
2;2;4;01/07/2012
0;0;4;01/08/2012
291;209;4;01/09/2012
259;177;4;01/10/2012
205;161;4;01/11/2012
208;125;4;01/12/2012
116;87;4;01/13/2012
1;1;4;01/14/2012
0;0;4;01/15/2012
198;146;4;01/16/2012
119;89;4;01/17/2012
106;90;4;01/18/2012
137;120;4;01/19/2012
87;95;4;01/20/2012
0;0;4;01/21/2012
0;0;4;01/22/2012
280;122;4;01/23/2012
228;90;4;01/24/2012
86;37;4;01/25/2012
143;93;4;01/26/2012
108;38;4;01/27/2012
0;0;4;01/28/2012
0;0;4;01/29/2012
159;132;4;01/30/2012
101;61;4;01/31/2012
66;42;4;02/01/2012
60;47;4;02/02/2012
40;31;4;02/03/2012
3;1;4;02/04/2012
0;0;4;02/05/2012
99;86;4;02/06/2012
105;81;4;02/07/2012
156;104;4;02/08/2012
124;91;4;02/09/2012
31;31;4;02/10/2012
0;0;4;02/11/2012
8;0;4;02/12/2012
141;130;4;02/13/2012
70;56;4;02/14/2012
121;114;4;02/15/2012
120;118;4;02/16/2012
10;1;4;02/17/2012
0;0;4;02/18/2012
0;0;4;02/19/2012
143;117;4;02/20/2012
107;69;4;02/21/2012
60;32;4;02/22/2012
96;89;4;02/23/2012
67;44;4;02/24/2012
1;1;4;02/25/2012
0;0;4;02/26/2012
28;26;4;02/27/2012
15;11;4;02/28/2012
28;8;4;02/29/2012
51;9;4;03/01/2012
35;31;4;03/02/2012
0;0;4;03/03/2012
5;5;4;03/04/2012
103;88;4;03/05/2012
84;87;4;03/06/2012
41;38;4;03/07/2012
112;121;4;03/08/2012
116;105;4;03/09/2012
4;4;4;03/10/2012
0;0;4;03/11/2012
86;61;4;03/12/2012
75;50;4;03/13/2012
84;68;4;03/14/2012
40;38;4;03/15/2012
27;91;4;03/16/2012
2;2;4;03/17/2012
0;0;4;03/18/2012
170;162;4;03/19/2012
71;71;4;03/20/2012
68;61;4;03/21/2012
77;79;4;03/22/2012
30;32;4;03/23/2012
8;11;4;03/24/2012
0;0;4;03/25/2012
105;109;4;03/26/2012
91;80;4;03/27/2012
63;62;4;03/28/2012
69;61;4;03/29/2012
8;9;4;03/30/2012
0;0;4;03/31/2012
1;1;5;01/01/2012
5;6;5;01/02/2012
85;66;5;01/03/2012
52;49;5;01/04/2012
53;47;5;01/05/2012
0;0;5;01/06/2012
0;0;5;01/07/2012
0;0;5;01/08/2012
67;60;5;01/09/2012
45;49;5;01/10/2012
8;14;5;01/11/2012
29;24;5;01/12/2012
33;27;5;01/13/2012
0;0;5;01/14/2012
0;0;5;01/15/2012
65;61;5;01/16/2012
73;63;5;01/17/2012
32;38;5;01/18/2012
78;93;5;01/19/2012
20;16;5;01/20/2012
0;0;5;01/21/2012
